Method,Endpoint Path,Handler Function,Request Body Type,Response Type,Status Codes,Description,Example Request,Example Response,Notes

POST,/narratives,CreateNarrative,CreateNarrativeRequest JSON,Narrative JSON,201 | 400 | 500,Create a new narrative,"{""title"": ""Traffic System Analysis"", ""content"": ""A comprehensive study of urban traffic patterns""}","{""id"": ""narrative_1758811810649358883"", ""title"": ""Traffic System Analysis"", ""content"": ""A comprehensive study of urban traffic patterns"", ""created_at"": ""2025-09-22T21:33:39Z"", ""updated_at"": ""2025-09-22T21:33:39Z""}",Returns auto-generated ID with timestamp
GET,/narratives/{id},GetNarrative,None,Narrative JSON,200 | 404 | 500,Get specific narrative by ID,None,"{""id"": ""narrative_1758811810649358883"", ""title"": ""Traffic System Analysis"", ""content"": ""A comprehensive study of urban traffic patterns"", ""created_at"": ""2025-09-22T21:33:39Z"", ""updated_at"": ""2025-09-22T21:33:39Z""}",ID must be full narrative ID
PUT,/narratives/{id},UpdateNarrative,UpdateNarrativeRequest JSON,Narrative JSON,200 | 400 | 404 | 500,Update existing narrative,"{""title"": ""Updated Traffic Analysis"", ""content"": ""Updated comprehensive study""}","{""id"": ""narrative_1758811810649358883"", ""title"": ""Updated Traffic Analysis"", ""content"": ""Updated comprehensive study"", ""created_at"": ""2025-09-22T21:33:39Z"", ""updated_at"": ""2025-09-22T21:45:15Z""}",UpdatedAt timestamp changes
DELETE,/narratives/{id},DeleteNarrative,None,Status message,200 | 404 | 500,Delete specific narrative by ID,None,"{""message"": ""Narrative deleted successfully""}",Permanently removes narrative

POST,/nodes/system,CreateSystemNode,CreateSystemRequest JSON,System JSON,201 | 400 | 500,Create a new system node,"{""name"": ""Urban Traffic System"", ""boundary_description"": ""City roads within downtown"", ""type"": ""Transportation""}","{""id"": ""system_1758811810649358884"", ""name"": ""Urban Traffic System"", ""boundary_description"": ""City roads within downtown"", ""type"": ""Transportation"", ""created_at"": ""2025-09-22T21:33:49Z""}",Returns auto-generated ID
POST,/nodes/stock,CreateStockNode,CreateStockRequest JSON,Stock JSON,201 | 400 | 500,Create a new stock node,"{""name"": ""Number of Cars on Road"", ""description"": ""The accumulation of vehicles currently traveling"", ""type"": ""accumulation""}","{""id"": ""stock_1758811810649358885"", ""name"": ""Number of Cars on Road"", ""description"": ""The accumulation of vehicles currently traveling"", ""type"": ""accumulation"", ""created_at"": ""2025-09-22T21:34:20Z""}",Type must be accumulation | buffer | delay
POST,/nodes/flow,CreateFlowNode,CreateFlowRequest JSON,Flow JSON,201 | 400 | 500,Create a new flow node,"{""name"": ""Cars Entering System"", ""description"": ""Rate at which vehicles enter per hour"", ""type"": ""inflow""}","{""id"": ""flow_1758811810649358886"", ""name"": ""Cars Entering System"", ""description"": ""Rate at which vehicles enter per hour"", ""type"": ""inflow"", ""created_at"": ""2025-09-22T21:34:33Z""}",Type must be inflow | outflow | connector

POST,/relationships/describes,CreateDescribes,CreateDescribesRequest JSON,Describes JSON,201 | 400 | 500,Create narrative-system relationship,"{""narrative_id"": ""narrative_1758811810649358883"", ""system_id"": ""system_1758811810649358884""}","{""narrative_id"": ""narrative_1758811810649358883"", ""system_id"": ""system_1758811810649358884""}",Links narrative to system
POST,/relationships/describes-static,CreateDescribesStatic,CreateDescribesStaticRequest JSON,DescribesStatic JSON,201 | 400 | 500,Create stock-system relationship,"{""stock_id"": ""stock_1758811810649358885"", ""system_id"": ""system_1758811810649358884""}","{""stock_id"": ""stock_1758811810649358885"", ""system_id"": ""system_1758811810649358884""}",Links stock to system
POST,/relationships/describes-dynamic,CreateDescribesDynamic,CreateDescribesDynamicRequest JSON,DescribesDynamic JSON,201 | 400 | 500,Create flow-system relationship,"{""flow_id"": ""flow_1758811810649358886"", ""system_id"": ""system_1758811810649358884""}","{""flow_id"": ""flow_1758811810649358886"", ""system_id"": ""system_1758811810649358884""}",Links flow to system
POST,/relationships/constitutes,CreateConstitutes,CreateConstitutesRequest JSON,Constitutes JSON,201 | 400 | 500,Create system hierarchy relationship,"{""subsystem_id"": ""system_1758811810649358887"", ""system_id"": ""system_1758811810649358884""}","{""subsystem_id"": ""system_1758811810649358887"", ""system_id"": ""system_1758811810649358884""}",Links subsystem to parent system
POST,/relationships/changes,CreateChanges,CreateChangesRequest JSON,Changes JSON,201 | 400 | 500,Create flow-stock change relationship,"{""flow_id"": ""flow_1758811810649358886"", ""stock_id"": ""stock_1758811810649358885"", ""polarity"": 1.0}","{""flow_id"": ""flow_1758811810649358886"", ""stock_id"": ""stock_1758811810649358885"", ""polarity"": 1.0}",Links flow to stock with polarity validation

POST,/causal-link,CreateCausalLink,CreateCausalLinkRequest JSON,CausalLink JSON,201 | 400 | 500,Create causal relationship between nodes,"{""from_id"": ""flow_1758811810649358886"", ""from_type"": ""Flow"", ""to_id"": ""stock_1758811810649358885"", ""to_type"": ""Stock"", ""polarity"": 1.0, ""confidence"": 0.8, ""stock_count"": 1, ""flow_count"": 1}","{""from_id"": ""flow_1758811810649358886"", ""from_type"": ""Flow"", ""to_id"": ""stock_1758811810649358885"", ""to_type"": ""Stock"", ""polarity"": 1.0, ""confidence"": 0.8, ""stock_count"": 1, ""flow_count"": 1, ""created_at"": ""2025-09-22T21:35:45Z""}",Creates causal link with timestamp
